District,City,year,pm25,pm10,so2,o3,no2,co
경기도,하남,2017,25.75,51.17,0.0,0.02,0.04,0.48
경기도,하남,2018,21.75,48.42,0.0,0.02,0.03,0.46
경기도,하남,2019,20.5,44.5,0.0,0.02,0.03,0.49
경기도,하남,2020,16.08,34.08,0.0,0.02,0.02,0.44
경기도,하남,2021,16.33,42.5,0.0,0.03,0.02,0.42
경기도,하남,2022,16.64,33.36,0.0,0.03,0.02,0.34
경기도,화성,2015,28.06,55.17,0.0,0.03,0.02,0.48
경기도,화성,2016,28.54,56.17,0.0,0.03,0.02,0.4
경기도,화성,2017,24.1,56.33,0.0,0.03,0.02,0.41
경기도,화성,2018,26.58,46.42,0.0,0.03,0.02,0.43
경기도,화성,2019,28.58,47.67,0.0,0.03,0.02,0.47
경기도,화성,2020,22.5,39.17,0.0,0.03,0.02,0.45
경기도,화성,2021,21.92,43.0,0.0,0.03,0.02,0.42
경기도,화성,2022,21.0,36.73,0.0,0.03,0.02,0.34
경상남도,거제,2015,25.08,43.17,0.01,0.04,0.02,0.45
경상남도,거제,2016,24.17,43.0,0.0,0.03,0.02,0.47
경상남도,거제,2017,22.5,40.67,0.0,0.04,0.01,0.48
경상남도,거제,2018,20.18,38.18,0.0,0.04,0.02,0.48
경상남도,거제,2019,18.58,35.08,0.0,0.04,0.02,0.49
경상남도,거제,2020,16.33,30.58,0.0,0.03,0.01,0.43
경상남도,거제,2021,13.5,27.25,0.0,0.04,0.01,0.48
경상남도,거제,2022,13.09,21.73,0.0,0.04,0.01,0.4
경상남도,거창,2015,24.95,45.06,0.0,0.03,0.02,0.45
경상남도,거창,2016,23.98,43.62,0.0,0.03,0.02,0.43
경상남도,거창,2017,22.19,42.36,0.0,0.03,0.02,0.46
